,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,Viscosity Value (Pa * s),Viscosity Uncertainty (Pa * s),Source
12,728cf031aeb14fb9b41faff9d76e320d,298.15,101.0,Liquid,1,CN1CCNCC1,Solvent,1.0,,,,,,,,,,0.00187,2e-05,10.1016/j.jct.2011.06.020
13,81d8dffe05294cd0a8957e341a00da71,303.15,101.0,Liquid,1,O,Solvent,1.0,,,,,,,,,,0.0008,8.5e-06,10.1016/j.jct.2011.06.020
25,903e86dffb454a3892356a743899fce2,303.15,101.0,Liquid,1,CN1CCNCC1,Solvent,1.0,,,,,,,,,,0.001618,1.7e-05,10.1016/j.jct.2011.06.020
7,30f6e3771a504421ab164b2eb8f0514e,295.65,101.325,Liquid,1,CCC[n+]1ccccc1.F[B-](F)(F)F,Solvent,1.0,,,,,,,,,,0.1377,0.00145,10.1016/j.jct.2011.08.015
8,2a815be52d1046fd8311838937fc0976,298.15,101.325,Liquid,1,CCC[n+]1ccccc1.F[B-](F)(F)F,Solvent,1.0,,,,,,,,,,0.1195,0.0011,10.1016/j.jct.2011.08.015
9,b76b43f7f6c54f8d8b985b70ee093d20,300.65,101.325,Liquid,1,CCC[n+]1ccccc1.F[B-](F)(F)F,Solvent,1.0,,,,,,,,,,0.1038,0.0009,10.1016/j.jct.2011.08.015
10,f60d107ff9b74546b479f9f34c0f478d,303.15,101.325,Liquid,1,CCC[n+]1ccccc1.F[B-](F)(F)F,Solvent,1.0,,,,,,,,,,0.09075,0.000695,10.1016/j.jct.2011.08.015
4,8b1d7bb099084b7d84573505e8e650b9,298.15,101.325,Liquid,1,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.0437,0.0003,10.1016/j.jct.2011.08.028
5,0d11d73637f04e33b534f7d4e99ef0e2,303.15,101.325,Liquid,1,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.03568,0.00027,10.1016/j.jct.2011.08.028
3,c38174bc9dc1496aa670c3df521e548d,298.16,101.325,Liquid,1,CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,Solvent,1.0,,,,,,,,,,0.0972,0.00115,10.1016/j.jct.2011.09.027
4,7a8afc8172454fba9b49193754d4cdc8,303.15,101.325,Liquid,1,CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,Solvent,1.0,,,,,,,,,,0.0771,0.0009,10.1016/j.jct.2011.09.027
14,7835d1ec09ba445b9a0f5d6886e08ac4,298.15,101.325,Liquid,1,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.3359,0.0093,10.1016/j.jct.2011.10.012
15,62b73ad3093148328f95613c47450ef9,298.15,101.325,Liquid,1,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.3365,0.0093,10.1016/j.jct.2011.10.012
16,a19f637325a64f268eb7a5bc7dc13dda,303.15,101.325,Liquid,1,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.2561,0.0066,10.1016/j.jct.2011.10.012
17,e336253c29e14cd18e391910a56c87b3,303.15,101.325,Liquid,1,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.2567,0.0066,10.1016/j.jct.2011.10.012
18,7426c5797cd04dd882a7fb24daeb9f58,303.15,101.325,Liquid,1,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.2555,0.00655,10.1016/j.jct.2011.10.012
19,6e8e457bdcdc4f4480cb7023eb7177f8,303.15,101.325,Liquid,1,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.2558,0.00655,10.1016/j.jct.2011.10.012
20,893678c00a514931bf0bca5c355627f9,303.15,101.325,Liquid,1,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.2561,0.0066,10.1016/j.jct.2011.10.012
21,9938b5b957fb41c98638d619dff7fc9e,303.15,101.325,Liquid,1,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.2564,0.0066,10.1016/j.jct.2011.10.012
9,57003e5c2d4c486d9eba366da2e86e8f,298.15,101.0,Liquid,1,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.36931,0.00726,10.1016/j.jct.2011.12.003
20,ed4ebd7d94bc4b5db80521083ac85b53,298.15,101.0,Liquid,1,CCCCO,Solvent,1.0,,,,,,,,,,0.00254,1e-05,10.1016/j.jct.2011.12.003
30,56014b424d6b42dfad512eb832930655,298.15,101.0,Liquid,1,CCCCCCO,Solvent,1.0,,,,,,,,,,0.00448,1.5e-05,10.1016/j.jct.2011.12.003
40,2354374ef7ee430d8a58130f7ad0b0cb,298.15,101.0,Liquid,1,OCCc1ccccc1,Solvent,1.0,,,,,,,,,,0.0109,4.5e-05,10.1016/j.jct.2011.12.003
165,2db60a7c8be542358cb7a98220fb2ec3,298.15,101.0,Liquid,1,CCCCO,Solvent,1.0,,,,,,,,,,0.00254,1e-05,10.1016/j.jct.2011.12.003
175,cc8f6fd3807e4e45b6ca3cdaa65f2b43,298.15,101.0,Liquid,1,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.36931,0.00675,10.1016/j.jct.2011.12.003
330,c605c816b8c24362a6179a72f4aedc55,298.15,101.0,Liquid,1,CCCCCCO,Solvent,1.0,,,,,,,,,,0.00448,1.5e-05,10.1016/j.jct.2011.12.003
338,580a210415c649ec885b0d7f8287f7b8,298.15,101.0,Liquid,1,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.36931,0.00675,10.1016/j.jct.2011.12.003
485,399f7313b6204d808c7e8e07127e8c98,298.15,101.0,Liquid,1,OCCc1ccccc1,Solvent,1.0,,,,,,,,,,0.0109,4.5e-05,10.1016/j.jct.2011.12.003
495,d3cb0f016f1541f886a3698b655e292a,298.15,101.0,Liquid,1,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.36931,0.00675,10.1016/j.jct.2011.12.003
1,716d0f00afca4688abf222b98bfc2c7f,298.15,101.325,Liquid,1,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,Solvent,1.0,,,,,,,,,,0.1789155,0.00420845,10.1016/j.jct.2011.12.008
2,d838d50d494e4e49a2662ef1627374ad,303.15,101.325,Liquid,1,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,Solvent,1.0,,,,,,,,,,0.1361489,0.0030869,10.1016/j.jct.2011.12.008
21,bfed01b2af46467b9d0cec5adb2e52c2,298.15,101.325,Liquid,1,NCCCO,Solvent,1.0,,,,,,,,,,0.0304336,0.0006351,10.1016/j.jct.2011.12.008
22,e3999f5651524e2181cd6cc8ca6d2160,303.15,101.325,Liquid,1,NCCCO,Solvent,1.0,,,,,,,,,,0.0238679,0.0004964,10.1016/j.jct.2011.12.008
41,f4c2152bb7784bdf9fa4c8056bf6412c,298.15,101.325,Liquid,1,CC(C)CO,Solvent,1.0,,,,,,,,,,0.00345,7.11e-05,10.1016/j.jct.2011.12.008
42,06c44d8ab3944ccc90cd09321b7d900e,303.15,101.325,Liquid,1,CC(C)CO,Solvent,1.0,,,,,,,,,,0.0028767,5.94e-05,10.1016/j.jct.2011.12.008
71,3f9b7a9380594be08aef9c7e8690404b,298.15,101.0,Liquid,1,NCCCO,Solvent,1.0,,,,,,,,,,0.0304336,0.0006351,10.1016/j.jct.2011.12.008
81,555d0ed180d64db3be1e205b7531490e,298.15,101.0,Liquid,1,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,Solvent,1.0,,,,,,,,,,0.1789155,0.00420845,10.1016/j.jct.2011.12.008
82,3875b20d16ba447fa2cde30f08b28629,303.15,101.0,Liquid,1,NCCCO,Solvent,1.0,,,,,,,,,,0.0238679,0.0004964,10.1016/j.jct.2011.12.008
92,122fb9b38e9e4cb4a9ffbacca9f66475,303.15,101.0,Liquid,1,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,Solvent,1.0,,,,,,,,,,0.1361489,0.0030869,10.1016/j.jct.2011.12.008
397,baae7c58fbd5441ea91aedf091aca146,298.15,101.0,Liquid,1,CC(C)CO,Solvent,1.0,,,,,,,,,,0.00345,7.11e-05,10.1016/j.jct.2011.12.008
403,0d1d5005676f4fc4aa45d2a5b99ae07b,298.15,101.0,Liquid,1,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,Solvent,1.0,,,,,,,,,,0.1789155,0.00420845,10.1016/j.jct.2011.12.008
404,bbda74bc4a084464acdaa2318abe9a68,303.15,101.0,Liquid,1,CC(C)CO,Solvent,1.0,,,,,,,,,,0.0028767,5.94e-05,10.1016/j.jct.2011.12.008
413,c016850e694b43339cb91283a564276f,303.15,101.0,Liquid,1,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,Solvent,1.0,,,,,,,,,,0.1361489,0.0030869,10.1016/j.jct.2011.12.008
51,fed062d44d724255ac03f5c681823e6d,298.15,101.0,Liquid,1,O,Solvent,1.0,,,,,,,,,,1.0,0.00255,10.1016/j.jct.2011.12.022
1,7e529b4e5b8f487fb4198201a71a0285,298.15,101.325,Liquid,1,CO,Solvent,1.0,,,,,,,,,,0.000551,3e-05,10.1016/j.jct.2012.01.013
2,340be6cc62f44bb486cbc244d1971dd5,303.15,101.325,Liquid,1,CO,Solvent,1.0,,,,,,,,,,0.000517,3e-05,10.1016/j.jct.2012.01.013
16,232d878006514ff986a35bcfc1db7e49,298.15,101.325,Liquid,1,CCCO,Solvent,1.0,,,,,,,,,,0.001976,3.1e-05,10.1016/j.jct.2012.01.013
17,389b6bd47d184878b071ba8fc07f6d89,303.15,101.325,Liquid,1,CCCO,Solvent,1.0,,,,,,,,,,0.001737,3.05e-05,10.1016/j.jct.2012.01.013
26,dc1a22ea5239480684c0d3819912f704,298.15,101.325,Liquid,1,CCCCO,Solvent,1.0,,,,,,,,,,0.002573,3.15e-05,10.1016/j.jct.2012.01.013
27,c3513bf2e2624a59a5a16b4b9c3082e6,303.15,101.325,Liquid,1,CCCCO,Solvent,1.0,,,,,,,,,,0.002264,3.1e-05,10.1016/j.jct.2012.01.013
36,ad5c89bb882749b5ae05699628b2505e,298.15,101.325,Liquid,1,CC(=O)O.Cn1ccnc1,Solvent,1.0,,,,,,,,,,0.006926,4.25e-05,10.1016/j.jct.2012.01.013
37,306c83979e7b4991a8189c63f920b638,303.15,101.325,Liquid,1,CC(=O)O.Cn1ccnc1,Solvent,1.0,,,,,,,,,,0.005913,3.95e-05,10.1016/j.jct.2012.01.013
46,7fe128f7603e45cf8ce88db22f49a937,298.15,101.325,Liquid,1,O,Solvent,1.0,,,,,,,,,,0.000891,3e-05,10.1016/j.jct.2012.01.013
47,db311e168156447392b81db5955915c0,303.15,101.325,Liquid,1,O,Solvent,1.0,,,,,,,,,,0.000798,3e-05,10.1016/j.jct.2012.01.013
1,560b577fd3e244b3acde24f069c56ea4,298.15,101.325,Liquid,1,NCCN,Solvent,1.0,,,,,,,,,,0.001405,6e-06,10.1016/j.jct.2012.01.022
3,6b1d358c43954495b7a365b22326dd04,298.15,101.325,Liquid,1,CCCCCCO,Solvent,1.0,,,,,,,,,,0.004439,2.1e-05,10.1016/j.jct.2012.01.022
5,1fc0d759093a4425b45193316693314f,298.15,101.325,Liquid,1,CCCCCCCCO,Solvent,1.0,,,,,,,,,,0.007143,2.05e-05,10.1016/j.jct.2012.01.022
7,127266b663964bf48990d9f29fcf3906,298.15,101.325,Liquid,1,CCCCCCCCCCO,Solvent,1.0,,,,,,,,,,0.011192,3.1e-05,10.1016/j.jct.2012.01.022
0,5267bc850ffd40d688e13ed5e441d411,298.15,101.325,Liquid,1,COCC[N+]1(C)CCOCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.7224,0.0325,10.1016/j.jct.2012.01.026
12,424282f4e33e413687868b2f38d54483,298.15,101.325,Liquid,1,COCC[N+]1(C)CCCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.1939,0.00445,10.1016/j.jct.2012.01.026
24,f3e7ba697327458dbd14fdd1a751da8d,298.15,101.325,Liquid,1,COCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.1107,0.0015,10.1016/j.jct.2012.01.026
0,c7119ccecba144cdbbb88f234409c9ef,303.15,101.0,Liquid,1,c1ccc(Oc2ccccc2)cc1,Solvent,1.0,,,,,,,,,,0.0033,7e-05,10.1016/j.jct.2012.02.001
89,819f0d4d26f54b2baa5896c7ff453a78,303.15,101.0,Liquid,1,c1ccc(Oc2ccccc2)cc1,Solvent,1.0,,,,,,,,,,0.0033,7e-05,10.1016/j.jct.2012.02.001
105,eaee4f04444d4176a31e10ba0eefb608,298.15,101.325,Liquid,1,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,Solvent,1.0,,,,,,,,,,0.23697,0.0054,10.1016/j.jct.2012.02.018
106,95749b61e7ea41b2a463d36568bb177c,303.15,101.325,Liquid,1,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,Solvent,1.0,,,,,,,,,,0.17104,0.003765,10.1016/j.jct.2012.02.018
0,e910a460c572473c991379be6bf93eab,298.15,101.325,Liquid,1,CC(=O)[O-].CCn1cc[n+](C)c1,Solvent,1.0,,,,,,,,,,0.13291,0.003035,10.1016/j.jct.2012.02.027
1,43c1eb41c17f40f0a09e87bb2d044c21,303.15,101.325,Liquid,1,CC(=O)[O-].CCn1cc[n+](C)c1,Solvent,1.0,,,,,,,,,,0.09798,0.002175,10.1016/j.jct.2012.02.027
20,63161504425644d6b85ac86dc118c586,298.15,101.325,Liquid,1,CCn1cc[n+](C)c1.N#C[N-]C#N,Solvent,1.0,,,,,,,,,,0.0149,0.00031,10.1016/j.jct.2012.02.027
21,d3f6a24f328842a09a5abcdedb38ebc4,303.15,101.325,Liquid,1,CCn1cc[n+](C)c1.N#C[N-]C#N,Solvent,1.0,,,,,,,,,,0.01293,0.00027,10.1016/j.jct.2012.02.027
40,dd6561c8d52048d795ee2dc317b8eb9e,298.15,101.325,Liquid,1,O,Solvent,1.0,,,,,,,,,,0.00089,2e-05,10.1016/j.jct.2012.02.027
42,30d9db16fdc6431ebe1975a4dd3eeb09,298.15,101.325,Liquid,1,CCO,Solvent,1.0,,,,,,,,,,0.001087,2.6e-05,10.1016/j.jct.2012.02.027
44,41193c660367478081746b68a8474df0,298.15,101.325,Liquid,1,CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,Solvent,1.0,,,,,,,,,,0.10142,0.002565,10.1016/j.jct.2012.02.027
46,dac14dd76437438fac684e8e05d291db,298.15,101.0,Liquid,1,CCn1cc[n+](C)c1.N#C[N-]C#N,Solvent,1.0,,,,,,,,,,0.0149,0.00031,10.1016/j.jct.2012.02.027
57,74a08af9291245a98804f50888a0d8b3,298.15,101.0,Liquid,1,O,Solvent,1.0,,,,,,,,,,0.00089,2e-05,10.1016/j.jct.2012.02.027
142,75f8bfaee0994f0dbd3b84cac403c8e1,298.15,101.0,Liquid,1,CC(=O)[O-].CCn1cc[n+](C)c1,Solvent,1.0,,,,,,,,,,0.13291,0.003025,10.1016/j.jct.2012.02.027
153,e8bd047ce16e4d7295e3accec9fada41,298.15,101.0,Liquid,1,O,Solvent,1.0,,,,,,,,,,0.00089,2e-05,10.1016/j.jct.2012.02.027
238,0d82c899bdbc4ee39d15cecb583d9aac,298.15,101.0,Liquid,1,CC(=O)[O-].CCn1cc[n+](C)c1,Solvent,1.0,,,,,,,,,,0.13291,0.003025,10.1016/j.jct.2012.02.027
249,10f5068a967845ab9976a13c214120bb,298.15,101.0,Liquid,1,CCO,Solvent,1.0,,,,,,,,,,0.00109,2.5e-05,10.1016/j.jct.2012.02.027
334,17200687677a407ebfbb5107cb779c24,298.15,101.0,Liquid,1,CCn1cc[n+](C)c1.N#C[N-]C#N,Solvent,1.0,,,,,,,,,,0.0149,0.00031,10.1016/j.jct.2012.02.027
345,e793aab602d443b2864cd9d2115e3894,298.15,101.0,Liquid,1,CCO,Solvent,1.0,,,,,,,,,,0.00109,2.5e-05,10.1016/j.jct.2012.02.027
1,a6295a8eb19d47f2afae0227a570885d,303.15,101.325,Liquid,1,NCCCO,Solvent,1.0,,,,,,,,,,0.023868,5.95e-05,10.1016/j.jct.2012.02.036
12,779aa62e41254e94b8bed0a5d577c8dc,303.15,101.0,Liquid,1,NCCCO,Solvent,1.0,,,,,,,,,,0.023978,0.000507,10.1016/j.jct.2012.02.036
13,dc495ebdadd24f12aac6a48412dd36bd,303.15,101.0,Liquid,1,NCCCO,Solvent,1.0,,,,,,,,,,0.023981,0.000507,10.1016/j.jct.2012.02.036
25,664585b45dc541369b2df501d77a648d,303.15,101.325,Liquid,1,CC(C)CO,Solvent,1.0,,,,,,,,,,0.002877,9e-06,10.1016/j.jct.2012.02.036
35,ce9725a1d2454e1abdb15cbe54b6ca44,303.15,101.0,Liquid,1,CC(C)CO,Solvent,1.0,,,,,,,,,,0.002873,8.05e-05,10.1016/j.jct.2012.02.036
41,65d5b1fa5c6946b288650c4ce6d15f41,303.15,101.325,Liquid,1,CC(C)O,Solvent,1.0,,,,,,,,,,0.0017694,5.6e-06,10.1016/j.jct.2012.02.036
51,5f6d6e6d86ec420ea9e6e759c8d94d77,303.15,101.0,Liquid,1,CC(C)O,Solvent,1.0,,,,,,,,,,0.001596,4.7e-05,10.1016/j.jct.2012.02.036
71,786d4fe1d2ad4010b680248ed0605cea,303.15,101.0,Liquid,1,CC(C)CO,Solvent,1.0,,,,,,,,,,0.002873,8.05e-05,10.1016/j.jct.2012.02.036
81,f63c79241e3043f0bd38a294e97b6728,303.15,101.0,Liquid,1,NCCCO,Solvent,1.0,,,,,,,,,,0.023978,0.000507,10.1016/j.jct.2012.02.036
180,069f5219a41b4d4181d4aea6231f0f93,303.15,101.0,Liquid,1,CC(C)O,Solvent,1.0,,,,,,,,,,0.001596,4.7e-05,10.1016/j.jct.2012.02.036
190,b13b4e14e03f43f58c3daacd758e3a85,303.15,101.0,Liquid,1,NCCCO,Solvent,1.0,,,,,,,,,,0.023981,0.000507,10.1016/j.jct.2012.02.036
0,c41e611311fc43c1989f4f517c300b42,298.15,101.0,Liquid,1,C[N+](=O)[O-],Solvent,1.0,,,,,,,,,,0.000614,7e-06,10.1016/j.jct.2012.03.002
2,86be690b08ae452980d8fdcc1d1152e1,298.15,101.0,Liquid,1,O=[N+]([O-])c1ccccc1,Solvent,1.0,,,,,,,,,,0.001809,1.95e-05,10.1016/j.jct.2012.03.002
4,b0ab47357ca64d0ea71e7978b2789295,298.15,101.0,Liquid,1,O=[N+]([O-])c1ccccc1,Solvent,1.0,,,,,,,,,,0.001809,1.95e-05,10.1016/j.jct.2012.03.002
8,c51c2a9a2fe04b4a8ddc59337433af26,298.15,101.0,Liquid,1,C[N+](=O)[O-],Solvent,1.0,,,,,,,,,,0.000614,7e-06,10.1016/j.jct.2012.03.002
3,cb071714ae794fa7bdc18ec26a627981,298.15,101.325,Liquid,1,CCCCn1cc[n+](C)c1.N#C[S-],Solvent,1.0,,,,,,,,,,0.05106,0.00157,10.1016/j.jct.2012.03.024
4,8a05b62c36f944efa3a00f08ee4ccdec,303.15,101.325,Liquid,1,CCCCn1cc[n+](C)c1.N#C[S-],Solvent,1.0,,,,,,,,,,0.04094,0.00126,10.1016/j.jct.2012.03.024
39,1f76a7529d484a7b9a18041a8b0caed3,298.15,101.325,Liquid,1,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,Solvent,1.0,,,,,,,,,,0.09493,0.00293,10.1016/j.jct.2012.03.024
40,fec76c4844044a728f02bc69898cb3d5,303.15,101.325,Liquid,1,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,Solvent,1.0,,,,,,,,,,0.07342,0.00225,10.1016/j.jct.2012.03.024
75,30e0ed23632b498a81cfff6298aecc29,298.15,101.325,Liquid,1,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,Solvent,1.0,,,,,,,,,,0.14556,0.00457,10.1016/j.jct.2012.03.024
76,1f8da0adabaf4d8b9c33d6c7b13220c7,303.15,101.325,Liquid,1,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,Solvent,1.0,,,,,,,,,,0.1104,0.00342,10.1016/j.jct.2012.03.024
111,8fd233863f4845fe91875107495f757b,298.15,101.325,Liquid,1,CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,Solvent,1.0,,,,,,,,,,0.41168,0.013805,10.1016/j.jct.2012.03.024
112,cea0310119b44eeda3574b057d2498c1,303.15,101.325,Liquid,1,CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,Solvent,1.0,,,,,,,,,,0.29647,0.009695,10.1016/j.jct.2012.03.024
1,eeb67766369a43b18fdacd95247df480,298.15,101.325,Liquid,1,CC(=O)O.CCNCC,Solvent,1.0,,,,,,,,,,0.01636,0.000115,10.1016/j.jct.2012.03.034
3,85c18cacd4144dc5889b6dc8e858da7b,298.15,101.325,Liquid,1,CN1CCCC1=O,Solvent,1.0,,,,,,,,,,0.00166,1.5e-05,10.1016/j.jct.2012.03.034
5,147c8103c39346beb40fb3b8b3fe34d5,298.15,101.325,Liquid,1,CC(=O)O.CCN(CC)CC,Solvent,1.0,,,,,,,,,,0.02414,0.000195,10.1016/j.jct.2012.03.034
7,66de05c6906f4d8b9f228160ceb452cf,298.15,101.325,Liquid,1,CCNCC.O=S(=O)(O)O,Solvent,1.0,,,,,,,,,,0.0341,0.000315,10.1016/j.jct.2012.03.034
9,4389458debdc49ed98e19de48f2881c1,298.15,101.325,Liquid,1,CCN(CC)CC.O=S(=O)(O)O,Solvent,1.0,,,,,,,,,,0.235,0.00661,10.1016/j.jct.2012.03.034
10,6fb45145832f483288df08ee7c882d58,298.15,101.0,Liquid,1,CN1CCCC1=O,Solvent,1.0,,,,,,,,,,0.00166,1.5e-05,10.1016/j.jct.2012.03.034
24,fb59d6e87ae14b959ad0312bca33015a,298.15,101.0,Liquid,1,CC(=O)O.CCNCC,Solvent,1.0,,,,,,,,,,0.01636,0.00017,10.1016/j.jct.2012.03.034
25,7ea4ccfe4cac40c5af75f1fffeaeb672,303.15,101.0,Liquid,1,CN1CCCC1=O,Solvent,1.0,,,,,,,,,,0.00149,1.5e-05,10.1016/j.jct.2012.03.034
39,1bd553ab1bbd4187abb218638f6e76ec,303.15,101.0,Liquid,1,CC(=O)O.CCNCC,Solvent,1.0,,,,,,,,,,0.01364,0.00014,10.1016/j.jct.2012.03.034
130,2cb5589601cb4791ad29167e2af6e1b5,298.15,101.0,Liquid,1,CN1CCCC1=O,Solvent,1.0,,,,,,,,,,0.00166,1.5e-05,10.1016/j.jct.2012.03.034
144,5ce902fa918f4c9faa5f50cd0192c598,298.15,101.0,Liquid,1,CC(=O)O.CCN(CC)CC,Solvent,1.0,,,,,,,,,,0.02412,0.00025,10.1016/j.jct.2012.03.034
145,41bff97ce04841e1a2201f8266338781,303.15,101.0,Liquid,1,CN1CCCC1=O,Solvent,1.0,,,,,,,,,,0.00149,1.5e-05,10.1016/j.jct.2012.03.034
159,0f8754d413434f7e99685de223232136,303.15,101.0,Liquid,1,CC(=O)O.CCN(CC)CC,Solvent,1.0,,,,,,,,,,0.0196,0.000205,10.1016/j.jct.2012.03.034
250,0450a1d1257b477d947242600ec27f79,298.15,101.0,Liquid,1,CN1CCCC1=O,Solvent,1.0,,,,,,,,,,0.00166,1.5e-05,10.1016/j.jct.2012.03.034
264,c77c0ee696b14846866ceea4e93294d0,298.15,101.0,Liquid,1,CCNCC.O=S(=O)(O)O,Solvent,1.0,,,,,,,,,,0.0341,0.00035,10.1016/j.jct.2012.03.034
265,b912be3ed2274a1eb23366e762a4752f,303.15,101.0,Liquid,1,CN1CCCC1=O,Solvent,1.0,,,,,,,,,,0.00149,1.5e-05,10.1016/j.jct.2012.03.034
279,1dd23c4c621c43db8bd749ade67aff27,303.15,101.0,Liquid,1,CCNCC.O=S(=O)(O)O,Solvent,1.0,,,,,,,,,,0.0289,0.0003,10.1016/j.jct.2012.03.034
370,22018c5512ee4956a4d47738e1a3090b,298.15,101.0,Liquid,1,CN1CCCC1=O,Solvent,1.0,,,,,,,,,,0.00268,3e-05,10.1016/j.jct.2012.03.034
384,f1963b594c304dbbb9ddfd7df4bb24db,298.15,101.0,Liquid,1,CCN(CC)CC.O=S(=O)(O)O,Solvent,1.0,,,,,,,,,,0.235,0.0025,10.1016/j.jct.2012.03.034
385,2a041c8f6e134b719d061a3d02e7a647,303.15,101.0,Liquid,1,CN1CCCC1=O,Solvent,1.0,,,,,,,,,,0.00251,2.5e-05,10.1016/j.jct.2012.03.034
399,ff57d41e33f04847a77a56e385a002d5,303.15,101.0,Liquid,1,CCN(CC)CC.O=S(=O)(O)O,Solvent,1.0,,,,,,,,,,0.153,0.0015,10.1016/j.jct.2012.03.034
1,9daeb58830c3491384666741c03e5578,298.15,101.325,Liquid,1,O=CO.OCCNCCO,Solvent,1.0,,,,,,,,,,0.533412,0.0278,10.1016/j.jct.2012.05.001
2,5498d2a28efe485796551a8a3a6229d5,303.15,101.325,Liquid,1,O=CO.OCCNCCO,Solvent,1.0,,,,,,,,,,0.369633,0.016163,10.1016/j.jct.2012.05.001
11,5fb1b91291144e75aa83c99b9f56508f,298.15,101.325,Liquid,1,NCCO.O=CO,Solvent,1.0,,,,,,,,,,0.052013,0.000304,10.1016/j.jct.2012.05.001
